"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
The difference between melodrama and comedy is a matter of perspective. Alma, Cyril and Reynolds are all, in their various ways, supremely witty people, capable of underlining the absurdity of their situations with a well-arched eyebrow or a devastating remark. They are acutely sensitive as well. What is painful to them is sometimes funny to us. The reverse is also true.
Like a garment that can be worn with the lining on the outside, “Phantom Thread” reverses itself, almost imperceptibly flipping from Reynolds’s point of view to Alma’s and back again. She succumbs, at first, to what is most likely a well-practiced campaign of seduction: Reynolds flirts with her at breakfast, invites her to dinner, takes her back to his country house and sets about making her a dress. What she regards as her physical flaws — small breasts, broad shoulders, wide hips — he sees as signs of perfection. She is dazzled by his ability to be dazzled by her.
But then, when the spell seems about to wear off, Alma refuses to let it. She rejects the shabby bargain Reynolds offers her, which demands the complete suppression of her will in exchange for his occasional recognition of her existence. “I live here,” she says to a client who might otherwise have assumed she was just another seamstress. She fights for her position in the household, trying to outmaneuver Cyril and to force Reynolds to recognize her as his equal. There is some temerity in this, and some novelty in the way Mr. Anderson depicts their relationship. The wives of artists in movies and literature tend to be doormats or helpmeets, and their psychic anguish and creative fire rarely move from background to center stage.
Is Alma a feminist heroine? Some version of that question is likely to fuel more than a few post-screening arguments. Your answer may depend on what you think of the mushroom omelet that is the movie’s spoiler-proof surprise. There are other things to talk about. On first viewing, the captivating strangeness of the mood and the elegant threading of the plot are likely to hold your attention, but later you can go back to savor the lustrous colors, the fine-grained performances and the romantic mystery that holds the whole thing together.
What kind of love story is “Phantom Thread”? The wrenching tale of a woman’s love for a man and a man’s love for his work. A dry, comic study of the asymmetries and conflicts at the heart of a marriage. A refined gothic nightmare in the manner of Henry James. A perverse psychological fable of unchecked ego and unhinged desire. That’s a partial catalog, and one that can’t quite capture how bizarre this movie is. Or how bizarrely true to life — to art, to love, to itself — it feels." 0.946078899 "Drama" "R" "Focus Features" "" "" "" "" "11" "22-Sep-89" "14-Dec-89" "" NA
"196" "Phillauri" "3/24/2017" "3/26/2017" "http://www.nytimes.com/2017/03/26/movies/phillauri-review.html" 0 "Anshai Lal’s “Phillauri” is a Bollywood movie toggling between a contemporary screwball rom-com and a sweeping historical love story. Balancing both proves to be challenging.
In a sprawling home in Punjab, the families of Kanan (Suraj Sharma), a 26-year-old aspiring rapper, and his longtime girlfriend, Anu (Mehreen Pirzada), prepare for their wedding. But Kanan has his doubts — he thinks he might be too young for marriage — and to make matters worse, his family insists he first participate in a ceremony marrying him to a tree. (In this way, he is told, the hapless Kanan can avoid the usual fate of a manglik, a person born “under a cursed star.”)
Soon Kanan is haunted by the glowing ghost of Shashi (Anushka Sharma, no relation to Mr. Sharma), a friendly female spirit only he can see, who has a connection to the tree. His initial terror of, and conversations with, a seemingly nonexistent woman gives his fiancée pause.
Just when you think “Phillauri” is becoming a “Ghost Town”- or “Topper”-type romp, it switches gears, as Shashi imparts her own past. Flash back to almost a century ago, when she was a poet, secretly submitting verse to a newspaper under an assumed name. When she meets another poet, Phillauri (Diljit Dosanjh), a dashing ne’er-do-well, they fall into a love forbidden by Shashi’s pious brother. It’s painful to witness the script’s transformation of Shashi at that point from a hardheaded freethinker into a lovelorn obsessive. But things become worse for her: The abuses of British rule — specifically the Jallianwala Bagh Massacre, in Amritsar, Punjab, in 1919 — lead to a dire personal loss.
We shuttle between eras until the threads converge in a present-day supernatural spectacular in Amritsar, attended by a legion of wraiths. Yes, Shashi’s soul finds peace, and Kanan and Anu become ready for marriage. But by then credibility has been drained and the drama has proved exhausting, unhelped by the listless male leads. (Ms. Sharma and Ms. Pirzada bring the spark here.)
Mr. Lal, making his feature directorial debut, clearly understands the camera and special effects. But working from a script by Anvita Dutt that reaches too far in too many directions, he is undone by his own ambition." 0.204724151 "Comedy" "Not Yet Rated" "FIP" "" "$260,982 " "$467,596 " "" "1" "15-Oct-10" "21-Oct-10" "7" 1
"197" "Pirates of the Caribbean: Dead Men Tell No Tales" "5/26/2017" "5/25/2017" "http://www.nytimes.com/2017/05/25/movies/pirates-of-the-caribbean-dead-men-tell-no-tales-review-johnny-depp.html" 0 "This review will be short and dismissive. The movie under consideration — “Pirates of the Caribbean: Dead Men Tell No Tales” — is, by contrasts, long and punishing. Its pleasures are so meager, its delight in its own inventions so forced and false, that it becomes almost the perfect opposite of entertainment. To insist otherwise is a variation on the sunk cost fallacy. Since you exchanged money for fun, fun is surely what you must have purchased, and you may cling to that idea in the face of contrary evidence. But trust me on this: This movie would be a rip-off even if someone paid you to see it.
Because, to be honest, it’s barely a movie at all. The first installments of the “Pirates” franchise conquered skepticism with exuberance and charm. Somehow, a theme-park ride combined with clever, madcap visuals and Johnny Depp’s scapegrace showboating added up to something fresh. But that spirit is long gone. Mr. Depp, as Capt. Jack Sparrow, goes through the motions like a washed-up rock star reprising his greatest hits in a half-empty auditorium. The images are so dark and muddy that you can’t see what’s going on well enough to know why you don’t care. The plot twists, Easter eggs and surprises are either obvious or labored. You can’t spoil something that’s already thoroughly rotten.
Now and then you get a reminder of why you might have enjoyed the earlier movies. There are a couple of nifty Rube Goldbergian action sequences — one with a bank vault, the other with a guillotine — that recall the berserk inventiveness of Gore Verbinski, the original director. But otherwise, “Dead Men Tell No Tales,” directed by Joachim Ronning and Espen Sandberg from a script by Jeff Nathanson, is a tedious rehash.
Two appealing young people (Kaya Scodelario and Brenton Thwaites) meet on a quest for a mysterious and powerful object. They are joined by Sparrow and pursued by old and new enemies: the British Navy; the greedy pirate Hector Barbossa (Geoffrey Rush); and an army of ghouls led by the spectral Captain Salazar (Javier Bardem), known as the butcher of the sea.
This goes on for more than two hours. You are invited to sit through every last name on the lengthy end credits for a teasing extra scene of a couple asleep on linen sheets, a reminder of how you might have better spent the time. It would be a spoiler to identify those bedfellows, but the bigger spoiler is that apparently another sequel is on the way." 0.006018927 "Action" "PG-13" "Buena Vista" "$230,000,000 " "$62,983,253 " "$172,558,876 " "" "1,923" "13-Jul-90" "" "" NA
"198" "Pitch Perfect 3" "12/22/2017" "12/20/2017" "http://www.nytimes.com/2017/12/20/movies/pitch-perfect-3-review-anna-kendrick.html" 0 "When fans of the wry “Pitch Perfect” series first met the ragtag singing group the Barden Bellas, they were ensconced in the college a cappella bubble. “Pitch Perfect 3” finally bursts that bubble, following the Bellas into adult life. We are reintroduced to the group’s reluctant leader, Beca (Anna Kendrick), as she quits a demeaning record label job. In the same vein, Chloe (Brittany Snow) endures veterinary school, while Fat Amy (Rebel Wilson) coasts on her Fat Amy Winehouse impersonation. Discouraged by the demands of the real world, the larger-than-life Bellas reunite to join a U.S.O. tour, where they vie to perform as the opening act for the record producer DJ Khaled (appearing as himself).
With the Bellas removed from their natural collegiate habitat, the a cappella competitions that once drove the series feel out of place. Though there is novelty in casting a contemporary artist like DJ Khaled in the movie’s kingmaker role, his presence is a reminder that the demands of real-world pop are very different from the demands of this franchise’s fantasy version of a cappella. Watching the Bellas mash together pop songs without sound mixing or instruments in Khaled’s presence feels at best obligatory and at worst embarrassing.
“Pitch Perfect 3” fares best when its director, Trish Sie, treats it as a fantastical buddy comedy. A side plot reuniting Fat Amy with her degenerate father (John Lithgow) nearly takes over the movie when Amy’s father kidnaps the Bellas. What follows is the film’s funniest scene, as the suddenly spry Amy, in an attempt to save her friends, refashions sausages into nunchucks and sandwich tinfoil into explosives. In another divergence, the Bellas destroy a hotel suite, releasing a swarm of bees and lighting curtains on fire to the horror of party guests.
With a plot as unfocused as its freshly graduated characters, the shaggy “Pitch Perfect 3” gets by on karaoke logic: What makes for a good time isn’t the song you sing, but the company you keep." 0.1972989 "Comedy" "PG-13" "Universal" "$45,000,000 " "$19,928,525 " "" "" "1,477" "23-Jul-93" "" "" NA
"199" "Planetarium" "8/11/2017" "8/10/2017" "http://www.nytimes.com/2017/08/10/movies/planetarium-review-natalie-portman.html" 0 "“Planetarium” is at least three features in one — a supernatural story, a Holocaust drama and a snapshot of the French film industry in the years leading up to World War II — yet it’s missing some of the connective tissue that would make those movies fit together. It’s unusual to see such excellence in costumes, sets and cinematography lavished on this degree of narrative muddle.
Written by the director, Rebecca Zlotowski, and Robin Campillo — of “The Class” and “BPM (Beats Per Minute),” a recent Cannes prizewinner — this film, mostly set in the 1930s, stars Natalie Portman and Lily-Rose Depp as Laura and Kate Barlow, a spiritualist sister act from the United States. On the Paris stop of their European tour, they give a private séance to a film producer, André Korben (Emmanuel Salinger). As Laura notices, his accent suggests he isn’t from France originally. (Ms. Portman speaks many of her lines in what sounds like credible French.)
André becomes eager to film the mediums at work, with the hope of recording evidence of a spectral presence. (And to paraphrase a professor in the film, cinema — even without actual wraiths — is an invention that captures the ghosts of the future.) André also offers the sisters residence in his home, in an arrangement fraught with class tension.
But much of what happens next — romance, illness — seems arbitrary, as characters come and go without proper introductions. Tidiness isn’t crucial, but watching “Planetarium” often feels like making contact with fragments of a great three-hour movie." 0.903096579 "Drama" "Unrated" "Swen" "$10,000,000 " "$4,775 " "$128,486 " "$127,130,251 " "3,138" "22-Jul-05" "8-Sep-05" "49" 7
"200" "Radio Dreams" "5/19/2017" "5/31/2017" "http://www.nytimes.com/2017/05/31/movies/radio-dreams-review.html" 1 "The fictional San Francisco radio station PARS-FM, where much of “Radio Dreams” is set, is a study in gray and yellow. Its broadcasting booth is illuminated by a single glowing bulb, and its walls are covered in egg-carton-like soundproofing baffles. Multiple clocks on a wall giving times for cities from around the world are the only decorative feature of an adjacent conference room. “If an Iranian in Tokyo is listening and it’s 4 a.m. there, you know then to say good morning,” explains the station manager, Hamid, a grave fellow with a wild mane of white hair. Cozy it is not, yet this Farsi-language station is a spiritual home for Hamid and the stateless musicians and business people who move in and out of the place during the course of a day.
Hamid (played by Mohsen Namjoo, a  singer-songwriter who has been called the Iranian Bob Dylan and who lives in exile in the United States) begins the broadcasting day by reading work by the Salvadoran poet Roque Dalton to his listeners. This confounds the station’s owners, who have booked ads in anticipation of a station visit from Metallica. Yes, that Metallica, which is scheduled to jam on air with the real-life Afghan rock band Kabul Dreams. “Waiting for Metallica” could indeed be an alternate title for the movie, but this quiet, often sad film, directed by Babak Jalali, is about much more than that.
There are traces of early Wim Wenders in this story of immigrants adrift in a world not their own, trying to make the best of things. The movie’s tree-falling-in-the-forest-with-no-one-to-hear-it denouement is an apt but not entirely hopeless metaphor for the condition of its characters." 0.914950576 "Comedy" "Unrated" "Matson Films" "" "$5,499 " "" "$8,365,324 " "18" "2-Mar-12" "" "119" 17
"201" "Raees" "1/25/2017" "1/26/2017" "http://www.nytimes.com/2017/01/26/movies/raes-review-shah-rukh-khan.html" 1 "The “king of Bollywood,” Shah Rukh Khan, rarely plays the villain. His specialty has been goofball sweetie-pies: romantics, naïfs, the occasional superhero with a runny nose. So it’s not surprising that as the criminal title character in Rahul Dholakia’s “Raees” — a bootlegger turned kingpin turned politician turned folk hero — he’s more populist do-gooder than villain, a man whose heart is mostly gold, tarnished but unmistakable.
Set in Gujarat, in the 1980s and ’90s, the movie depicts an India of petty corruption, with cops and politicians on the take, and honor among thieves more aspirational than real. “This world is broken,” Raees says in voice-over. “You have to turn crooked to fix it.” And so he does, in a time-honored movie way. In one scene, he beats up a derelict factory owner at a drive-in, as the big screen shows Amitabh Bachchan, Hindi cinema’s original Angry Young Fix-It Man, threatening a boss who is careless with workers’ lives.
Avoiding flabby subplots, Mr. Dholakia keeps “Raees” taut and suspenseful, even at two and a half hours, though it probably has a song too many. (A classic Item Girl number, with Sunny Leone, seems torn between leering and being frank about the sexual threat inherent in … leering.)
Raees is a Muslim with ecumenical good will: He sends meals to Hindu families in need as well as Muslims. And he has a stated belief that “no faith is greater than business.” But in real life, business can have borders — some drawn, like India and Pakistan’s, by faith. Indian film producers voted last year not to employ Pakistanis, and Pakistan has banned Indian shows. That means Mahira Khan (no relation to Shah Rukh), the Pakistani actress making her Hindi movie debut as Raees’s wife, has been barred from promoting the film in India, and it won’t be shown in Pakistan. Politics 1, Culture 0." 0.734125387 "Action" "Unrated" "Zee TV" "" "$1,798,379 " "$3,262,954 " "" "2" "6-Feb-04" "" "133" 19
"202" "Railroad Tigers" "1/6/2017" "1/5/2017" "http://www.nytimes.com/2017/01/05/movies/railroad-tigers-review-jackie-chan.html" 0 "There are individual moments in “Railroad Tigers” during which you can wistfully make believe that you are getting cozy with a classic Hong Kong action picture. Scenes in which the main figures — a ragtag, argumentative but largely cheerful batch of Chinese guerrillas intent on sabotaging the Japanese Army during the Second Sino-Japanese War — strategize over meals or regroup in a cave after an attack are pleasantly reminiscent of this genre’s offerings from Asia in the 1970s and early ’80s, period pieces or not. And, of course, there’s Jackie Chan, the performer who’s the sound era’s heir to Buster Keaton.
At 62, Mr. Chan doesn’t mount the kind of jaw-dropping, death-defying stunt work that he used to do (nor should he be expected to). He nevertheless remains an impressive physical performer. Clever and resourceful, he’s found a new way into the action: Instead of driving it, he now dazzles us by sidestepping it. In a fight scene atop a moving train, Mr. Chan lets younger stuntmen jump and fly and punch while the star himself finds elegant methods of getting out of their way.
But beyond Mr. Chan’s deft work here, “Railroad Tigers,” directed by Ding Sheng, is kind of a mess. It opens as if it were a kid’s film, then applies a light slapstick touch to a “let’s take out the railroad bridge” scenario that gets harder to maintain as the casualties mount. The movie’s contempt for its Japanese characters reaches a peculiar culmination in a scene in which ritual suicide is played for laughs. It’s heartening to see Mr. Chan, who plays the avuncular leader of the guerrillas, demonstrating that he’s still game, but you wish his energy were being expended in more consistently enjoyable pictures." 0.974479736 "Action" "Unrated" "Well Go USA" "" "$116,211 " "$218,044 " "" "51" "17-Apr-02" "12-Sep-02" "" NA
"203" "Rebel in the Rye" "9/15/2017" "9/7/2017" "http://www.nytimes.com/2017/09/07/movies/rebel-in-the-rye-review-jd-salinger.html" 0 "If you can’t make a movie out of “The Catcher in the Rye,” make one about the writing of it.
Years after the book came out in 1951, Hollywood was still pursuing it. “Elia Kazan and Billy Wilder keep calling,” J. D. Salinger’s literary agent Dorothy Olding (Sarah Paulson) says in “Rebel in the Rye.”
“Tell them no. And to stop calling,” he replies, briskly.
Salinger’s disinclination stemmed from disappointment over the film “My Foolish Heart” (1949), based on his story “Uncle Wiggily in Connecticut.”
Filmmakers are still eyeing “The Catcher in the Rye,” but Salinger’s estate is holding the line. Danny Strong, making his directorial feature debut, won some kind of lottery in getting the rights to a critical biography by Kenneth Slawenski. Mr. Strong seizes on the idea of Holden Caulfield as a Salinger alter ego and runs hard with it.
While “Rebel in the Rye” isn’t quite as bad as its pile-of-bricks-clunky title suggests, it’s both simple- and literal-minded, less concerned with Salinger’s consciousness or sensibility than with his ostensible ontological status as a Tortured Creative Giant. Its depiction of Salinger’s probable PTSD, the product of his service in World War II, is almost insultingly hackneyed. When he discovers meditation through an Indian guru, the score, by Bear McCreary, comes alive with tablas and sitars. And so on.
Nicholas Hoult plays Salinger with keen timing and palpable commitment, yet seems respectfully removed from the role. The only moments that set a spark pit him against Kevin Spacey as Whit Burnett, an early mentor. Their last scene together ends on a note that would, in a better movie, carry real emotional devastation." 0.184866679 "Biography" "PG-13" "IFC" "" "$37,967 " "$378,294 " "" "1" "7-Apr-17" "13-Apr-17" "7" 1
"204" "Rebels on Pointe" "9/15/2017" "11/15/2017" "http://www.nytimes.com/2017/11/15/movies/rebels-on-pointe-review.html" 0 "On days when it seems there isn’t too much to smile about, grab a glass of wine and watch “Rebels on Pointe,” Bobbi Jo Hart’s playful documentary about the all-male comedy dance troupe, Les Ballets Trockadero de Monte Carlo. The cinematography isn’t the greatest, and the structure is hit or miss, but so what? In a movie this good natured, the heart is everything.
The performances are hilarious, but the dancing is no joke. As Gia Kourlas, a dance critic for The New York Times, points out, it takes exceptionally strong technique to merge classical choreography and comedy. Achieving what James Whiteside, a principal dancer for American Ballet Theater, calls “a balance between high art and clever camp” requires endless rehearsal and often physical therapy. Hoisting a 150-lb. man aloft is not for the weak-kneed.
Born from the dust of the Stonewall riots in the 1970s (the name is a homage to the legendary Ballets Russes de Monte Carlo), the company was initially blackballed by financiers and quickly learned to survive on a budget. Leading us lightly through that history, the artistic director and the movie’s unofficial narrator, Tory Dobrin, describes the devastation of AIDS and the relief of creating a space where dancers could forge their own identities. Giving the middle finger to classical ballet was just gravy.
Filming for four years, Ms. Hart follows a handful of touching individual stories and takes us on the road (the Trocks, as they are known, are rock stars in Japan), a punishing travel schedule that gobbles up more than two-thirds of the year. Oxygenating almost every scene, though, is the men’s delight in being liberated from the gender restrictions of traditional ballet — a freedom that allows them to create art that’s uniquely their own." 0.995349664 "Documentary" "Unrated" "Icarus Films" "" "$3,530 " "$55,366 " "$24,174,831 " "2,612" "21-Sep-07" "15-Nov-07" "56" 8
"205" "Reset" "6/30/2017" "6/29/2017" "http://www.nytimes.com/2017/06/29/movies/reset-review.html" 0 "Rule No. 1 for overstressed mothers engaged in top-secret research that might make them the target of an enemy: Don’t let the babysitter leave your child alone.
That is the first mistake Xia Tian (Yang Mi) makes in “Reset” as she tries to balance her life with her work: opening a wormhole to parallel universes. Sure enough, a ruthless operative (Wallace Huo) from a competing company is on the loose, willing to do anything to get the data Xia Tian and her colleagues are working on.
Because the process has not been completely successful, Xia Tian’s lab has prohibited human subjects from entering the portal. But she takes the chance and bursts through when her little son’s life is at stake to fight her competitor.
To say that this tense sci-fi thriller, directed by Chang (born Yoon Hong-seung) and produced by Jackie Chan, has a strong female lead is an understatement. Thanks to the portal, we are treated to three simultaneous manifestations of Xia Tian, which is about one more than we can easily keep track of when they are engaged in a gun battle.
There is shooting and stabbing galore, a clever kidnapping-by-truck routine and breathtaking car chases, as well as a harrowing scene of our heroine sliding down a long conveyor belt that feeds a bubbling caldron of waste.
Over all, this is an exciting film if not a completely cohesive one, but Xia Tian’s ultimate decision about her career is a disappointment. One more thing: Think twice about using retinal biometrics for identification. (You’ll see)." 0.63928043 "Action" "Unrated" "FilmRise" "" "$42,178 " "$276,259 " "$48,117,600 " "3,065" "16-Apr-10" "1-Jul-10" "77" 11
"206" "Reset" "1/13/2017" "1/12/2017" "http://www.nytimes.com/2017/01/12/movies/reset-review-benjamin-millepied.html" 1 "For a year and a half, Benjamin Millepied led the Paris Opera Ballet, where among other things he worked to diversify the company and to rethink the institution’s hierarchy. At one point in “Reset,” the riveting documentary by Thierry Demaizière and Alban Teurlai that chronicles Mr. Millepied choreographing a new ballet, he grabs an injured dancer’s foot and vigorously massages the heel. “Softer is pointless,” he says, ignoring her whimpers.
Mr. Millepied, the choreographer for the Darren Aronofsky film “Black Swan” (where he met his wife, Natalie Portman) and former principal at New York City Ballet, doesn’t do soft. He may be French, but in “Reset,” Mr. Millepied — brash, funny, intelligent — is very much an American living in Paris. And most of us already know the job didn’t work out in the end: Last year he announced his resignation as director of dance there.
It’s hard to make changes at the bureaucratic Paris Opera, yet Mr. Millepied — something of a real-life Rodrigo from “Mozart in the Jungle” — weathers it all with cheerful tenacity. He can be elusive, especially to his assistant, who is continually asking, “Have you seen Benjamin?” In one meeting, she rattles off his list of appointments; he turns to the camera with a hand covering his mouth and says: “Look at her diary. She’s going to kill me.”
But “Reset” also fleshes out the creative process and shows how, for Mr. Millepied, pleasure must always be part of dance. Did the film make me want to see Mr. Millepied’s ballet, “Clear, Loud, Bright, Forward,” on the stage? Yes. And that’s high praise." 0.719592294 "Documentary" "Unrated" "FilmRise" "" "$42,178 " "$276,259 " "$48,117,600 " "3,065" "16-Apr-10" "1-Jul-10" "77" 11
"207" "Resident Evil: The Final Chapter" "1/27/2017" "1/26/2017" "http://www.nytimes.com/2017/01/26/movies/resident-evil-review-the-final-chapter.html" 0 "Because their director, Paul W. S. Anderson, is an exceptional talent in action cinema, and because their star, Milla Jovovich, is a charismatic, exceptional and very credibly kinetic action performer, the movies in the “Resident Evil” franchise, of which this is the sixth, have always been a terrific time. Provided you like that sort of thing — that sort of thing being post-apocalyptic and necessarily grim sci-fi mayhem adapted from a popular, genre-mashing video game.
In “Resident Evil: The Final Chapter,” Ms. Jovovich’s Alice, a virally superpowered avenger on behalf of a highly diminished human population, is assisted by her onetime nemesis the Red Queen, an artificial intelligence program that takes the holographic form of a young girl. Deep in “the Hive” of Raccoon City, where all the “Resident Evil” trouble began, is a vial that can save humanity. A time-sensitive gauntlet is laid down, and the never-ending action begins.
There’s some really hair-raising stuff here, including a rain-of-fire set piece for which Mr. Anderson’s last film, “Pompeii,” might have served as a kind of dress rehearsal. Among Alice’s foes are hordes of flesh-eating undead, and it’s to Mr. Anderson’s credit that even in a pop culture glutted with postmodern zombies, he can make his creatures startle viewers. But the blindingly fast cuts and the inflated reprises of the franchise’s greatest hits — the startling undead Dobermans of the first film are back — yield diminishing returns. This is, I think, the weakest picture in the franchise.
Nevertheless, the movie percolates enough that even when, at its climax, it shamelessly recycles a grisly punch line from 1987’s “RoboCop,” it’s kind of endearing, not least because Mr. Anderson and company make it work." 0.953235679 "Action" "R" "Sony / Screen Gems" "$40,000,000 " "$13,601,682 " "$26,830,068 " "" "1,148" "3-Oct-86" "" "" NA
"208" "Restless Creature: Wendy Whelan" "5/24/2017" "5/23/2017" "http://www.nytimes.com/2017/05/23/movies/restless-creature-review-wendy-whelan.html" 1 "“If I don’t dance, I’d rather die.”
That’s a rather melodramatic utterance, especially from a ballerina past the age when most retire. When Wendy Whelan, who has been called “America’s greatest contemporary ballerina,” says it in the documentary “Restless Creature: Wendy Whelan,” she undercuts the sentiment, acknowledging how ridiculous she might sound.
Still, she means it. Dance is her life. And her disarming combination of humility and honesty, making light of heavy emotions without concealing their true weight, has much to do with how this affecting film portrait can sneak up on you.
Directed by Linda Saffire and Adam Schlesinger, “Restless Creature” captures Ms. Whelan in 2013 at 46, as she’s struggling to recover from a potentially career-ending injury and facing pressure to give her final bows at New York City Ballet after nearly 30 years there. Following her as she begins to reinvent herself as a dancer outside of ballet, the film is both a comeback story and, more profoundly, a coming to terms with aging.
“Restless Creature” is tightly edited but patient, with as many uneventful scenes of physical therapy and cocktail parties as more dramatic footage of surgery and is-she-pushing-too-hard suspense. Ballet dancers are experts in masking pain. But through trust established between the filmmakers and Ms. Whelan, this film allows us to see her stoic control, her superhuman strength under pressure, and also to see through it — to the self-doubt, the fear of losing her very identity.
Ms. Whelan, who escaped injury for most of her career, says that she has lived her whole life in “a fantasy world,” believing she would never break. Grow up, she chides herself.
While recognizing the psychological truth in that self-assessment, the film discreetly complicates it with Ms. Whelan’s biography. (The X-ray of her 12-year-old spine, bent into an S-curve by scoliosis, is no fantasy image.) By the end, it’s easy to understand the judgment of a colleague that this anti-diva changed the profession.
The plentiful snippets of Ms. Whelan dancing signature roles give a cumulative sense of her gifts. Though a dance fan could wish for more sustained sequences, what comes across is less a performance than a person the viewer has come to know, dancing with people she loves in choreography made for her by friends (who may happen to be Christopher Wheeldon and Alexei Ratmansky). “Restless Creature” humanizes dance.
More remarkable, though, is how the film and Ms. Whelan, without falsification, turn an extreme form of midlife crisis into a heartening tale. “Restless Creature” makes the potential compensations of age seem as beautiful as any ballet." 0.964747297 "Documentary" "Unrated" "Abramorama" "" "$3,716 " "$18,415 " "$2,745,871 " "2,469" "1-Aug-14" "18-Sep-14" "" NA
"209" "Rings" "2/3/2017" "2/3/2017" "http://www.nytimes.com/2017/02/03/movies/rings-review.html" 0 "“Rings,” the latest sequel in the franchise that began with the Japanese film “Ringu,” is short on outright frights, but some effort certainly went into the storytelling. For one thing, by the time this one’s over, fans will know a lot more about the mysterious Samara, the dead girl who continues to terrify the living via a grainy videotape. And those nearing or in college — the demographic being aimed at here — will learn an important lesson: Beware of any professor who tries to recruit you for a research study.
In case you’ve forgotten, the foundation of the franchise is a short videotape full of unsettling images that unsuspecting people keep stumbling upon; anyone who watches it dies seven days later. The original Japanese film, by Hideo Nakata, was an influential hit, and the 2002 American version was pretty successful, too, boosting the career of its star, Naomi Watts. (“The Ring Two,” in 2005, didn’t do as well.)
There is no Ms. Watts in “Rings,” directed efficiently by F. Javier Gutiérrez, but there is a heroine in jeopardy, Julia, played by Matilda Lutz. Julia’s boyfriend, Holt (Alex Roe), has gone off to college and been sucked into a research project by Gabriel (Johnny Galecki, of “The Big Bang Theory”), a professor who accidentally acquired the lethal videotape at a flea market. Gabriel has realized that the curse can be beaten if, during the seven-day period, the afflicted person gets someone else to watch the tape, and so his research is predicated on a sort of lethal pyramid scheme.
Julia is determined to rescue Holt at any cost; Vincent D’Onofrio makes an embarrassing appearance as a blind cemetery caretaker; and Samara (Bonnie Morgan) is given a full back story. The death-by-VCR conceit has been pretty thoroughly exhausted at this point, imitation being the sincerest form of flattery — see, for instance, “Beyond the Gates,” which came out in December. So this film doesn’t find any fresh ways to make you jump out of your seat.
Ms. Lutz is appealing, though, and fans of the franchise will probably be pleased with the elaboration. Too many horror sequels are content merely to recycle what worked the first time." 0.2650017 "Drama" "PG-13" "Paramount" "$25,000,000 " "$13,002,632 " "$27,793,018 " "" "991" "21-Feb-97" "" "" NA
"210" "Risk" "5/5/2017" "5/4/2017" "http://www.nytimes.com/2017/05/04/movies/risk-review-julian-assange-laura-poitras.html" 0 "“Risk,” Laura Poitras’s new documentary, was first shown at the Cannes Film Festival last May and has been updated since then. Even so, it feels unfinished in a way that is at once fascinating, frustrating and entirely understandable. The story Ms. Poitras has to tell is still unfolding, and opinions about the person at its center — the WikiLeaks founder Julian Assange — continue to evolve.
Much of the film casts a weirdly nostalgic spell, as it transports the audience back to a recent moment in history that nonetheless seems very far away. From 2010 to 2013, when most of the interviews in “Risk” were conducted, Mr. Assange emerged as a glamorous and controversial figure, a media-savvy and politically astute champion of radical transparency dogged by accusations of sexual misconduct.
WikiLeaks, which specialized in the highly publicized release of huge troves of classified documents and communications, challenged governments and journalistic conventions. The organization and its allies seemed to be on the vanguard of a global movement toward openness and democracy, enabled by digital technology and fueled by the idealism and skepticism of an army of hackers.
Things look different now. The connotations of the word “hacker” have darkened, and so, perhaps, have perceptions of the digital future. This is partly because the political and media context — and indeed the apparent direction of history — have changed dramatically. Remember Barack Obama’s first term? Remember the Arab Spring? Remember social media before the trolls and fake-news hucksters took it over?
“Risk” will take you back, briefly, to that era. It is possible to imagine circumstances — a different result in the 2016 presidential election, say, but not only that — in which this movie would be a more or less straightforward prequel to “Citizenfour,” Ms. Poitras’s Oscar-winning documentary about Edward J. Snowden. That film is in a sense tucked inside “Risk,” as Ms. Poitras abruptly leaves London, where she met with Mr. Assange, for Hong Kong, summoned by a message from an anonymous whistle-blower who will turn out to be Mr. Snowden. She sees less of Mr. Assange after that, and you get the impression that he was not altogether pleased with the shift in the filmmaker’s (and the rest of the world’s) attention away from him.
It would be simplistic to describe “Risk” as the chronicle of Ms. Poitras’s disillusionment with Mr. Assange. She is a discreet and careful observer, inserting herself into the story only when it might seem evasive to do otherwise and refraining from passing judgment on Mr. Assange. But any interesting portrait is necessarily the record of a relationship between artist and subject, each of whom is invested in controlling the outcome. And to some degree in spite of Ms. Poitras’s journalistic intentions — though very much as a consequence of her rigorous honesty — the picture that emerges is complicated, unsettling and intriguingly ambivalent.
“Why does he trust me?” Ms. Poitras asks in one of the voice-over diary entries that punctuate “Risk.” “I don’t think he likes me.” That is hard for the viewer to judge, since the filmmaker doesn’t appear on camera and her subject does not exactly exude warmth. But the trust is evident in his candor and in the remarkable access she was granted, both in the estate in Norfolk, England, where Mr. Assange was confined during his period of house arrest and in the Ecuadorean embassy in London, where he sought asylum to avoid extradition to Sweden.
With weary impatience, Mr. Assange describes the sexual assault allegations against him as the product of a feminist conspiracy. “Risk” takes them seriously, and sheds light on the ugly thread of misogyny and predation that runs through so much of the tech world — in Silicon Valley executive suites as well as in gamer message boards and hacker collectives — and that has been dismissed or denied for far too long.
